area,baths,beds,condo,location,price
0.941,2,2,1,2,94.905
1.146,2,3,0,2,98.937
0.909,2,3,0,2,100.309
1.289,2,3,0,3,106.25
1.02,1,3,0,3,107.502
1.022,2,2,0,2,108.75
1.134,2,2,1,2,110.7
0.844,1,2,0,2,113.263
0.795,1,2,1,2,116.25
0.588,1,2,0,2,120.0
1.356,2,3,0,2,121.63
1.118,2,3,0,2,122.0
1.329,2,4,0,3,122.682
1.24,2,4,0,2,123.0
1.601,2,3,0,2,124.1
0.901,2,3,0,2,125.0
1.088,2,3,0,2,126.64
0.963,1,3,0,3,127.281
1.119,2,3,0,3,129.0
1.38,2,4,0,2,131.2
1.248,2,3,0,3,132.0
1.039,2,2,1,3,133.0
1.152,2,3,0,2,134.555
1.38,2,3,0,2,136.5
1.116,2,3,0,2,138.75
1.039,2,2,1,3,141.0
1.418,2,3,0,3,146.25
1.082,2,3,0,2,147.308
1.472,2,4,0,3,148.75
1.146,2,4,0,3,149.593
0.76,1,1,1,2,150.0
1.304,2,2,1,2,152.0
1.207,2,3,0,3,154.0
1.056,2,3,0,3,156.896
1.043,2,2,0,2,161.25
1.587,2,4,0,2,161.5
1.12,1,4,0,2,164.0
1.58,2,4,0,3,165.0
1.955,1,4,0,3,166.357
1.656,2,4,0,2,166.357
1.477,2,3,0,3,168.0
1.188,2,3,0,3,170.0
1.59,2,4,0,3,173.0
1.463,2,3,0,3,174.25
1.714,2,4,0,3,174.313
1.185,2,3,0,3,178.48
1.406,2,3,0,3,178.76
1.172,2,3,0,3,181.0
1.152,1,3,0,2,181.872
1.851,3,4,0,3,182.587
1.215,2,3,0,2,182.716
1.13,2,3,0,3,182.75
1.603,2,4,0,2,183.2
1.479,1,3,0,3,188.741
1.42,2,3,0,3,189.0
1.28,2,3,0,3,192.067
1.586,2,3,0,3,194.0
1.362,2,3,0,2,194.818
1.266,2,3,0,3,198.0
1.715,2,4,0,3,199.5
1.82,2,3,0,4,200.0
0.936,1,3,0,2,200.0
1.511,2,3,0,2,208.0
1.59,2,4,0,3,212.864
1.596,2,4,0,3,221.0
1.341,2,2,0,2,221.0
2.136,3,5,0,3,223.058
1.616,2,4,0,3,227.887
1.478,2,3,0,3,231.477
1.287,2,3,0,2,234.697
1.277,2,4,0,2,235.0
1.448,2,4,0,2,236.0
2.235,3,4,0,3,236.685
2.093,2,3,0,2,237.8
1.193,2,3,0,2,240.122
2.163,2,3,0,3,242.638
1.269,2,3,0,3,244.0
0.958,1,3,0,3,244.96
2.508,3,5,0,3,245.918
1.305,2,3,0,2,250.0
1.591,2,4,0,3,250.0
1.326,2,2,1,2,250.134
1.843,2,3,0,3,254.2
1.921,2,4,0,2,254.2
2.79,3,5,0,3,258.0
1.541,2,3,0,2,260.0
